SETOR;SIGLA;CIDADE
Gerência Operacional de Desenvolvimento, Acompanhamento e Apoio à Gestão Escolar;GOAAG;João Pessoa
Gerência Operacional de Desenvolvimento Curricular e Formação;GODCF;João Pessoa
Gerência Operacional de Desenvolvimento das Competências Socioeducacionais;GODCS;João Pessoa
Gerência Operacional de Desenvolvimento do Currículo e Formação;GODEF;João Pessoa
Gerência Operacional de Educação Científica, Projetos Culturais, Esportivos e Olimpíadas Estudantis;GOECE;João Pessoa
Gerência Operacional de Educação para Pessoas Privadas de Liberdade;GOEPL;João Pessoa
Gerência Operacional de Estatística, Informação, Indicadores Educacionais, Estudos e Pesquisas;GOEIP;João Pessoa
GERENCIA OPERACIONAL DE ESTUDOS PROGRAMAS E PROJETOS;GOEPP;João Pessoa
Gerência Operacional de Fortalecimento da Alfabetização e Ensino Fundamental;GOFAF;João Pessoa
Gerência Operacional de Fortalecimento da Gestão Municipal e Planejamento de Rede;GOFMP;João Pessoa
Gerência Operacional de Gestão de Programas e Projetos Educacionais;GOPPE;João Pessoa
Gerência Operacional de Gestão e Acompanhamento para Resultados Educacionais e Desenv. Integral;GOGAR;João Pessoa
GERENCIA OPERACIONAL DE INFORMACAO COOPERACAO E ARTICULACAO;GOICA;João Pessoa
GERENCIA OPERACIONAL DE REGISTRO E VIDA ESCOLAR;GORVE;João Pessoa
GERENCIA OPERACIONAL DESPORTIVA;GODE;João Pessoa
Gerência Oper. de Desenv. Curric. da Educ. Infantil, Ensino Fundamental, Ensino Médio e Ens. Noturno;GODCE;João Pessoa
Gerência Oper. de Gestão e Acomp. para Resultados Educacionais, Desenv. Integral e Ensino Técnico;GOGRE;João Pessoa
Ger Exec Ed Especial, Diversidade, Inclusão, Dir Humanos, P Indígenas, Quilombolas Com Tradicionais;GEEDI;João Pessoa
INTEGRA EDUCACAO PB -- EX-SOMA --;INTEGRA;João Pessoa
Núcleo Administrativo-Financeiro, Suprimentos e Logística;2-GRE-NUAFS;Guarabira
Núcleo Administrativo-Financeiro, Suprimentos e Logística;9-GRE-NUAFS;Cajazeiras
Núcleo Administrativo-Financeiro, Suprimentos e Logística;7-GRE-NUAFS;Itaporanga
Núcleo Administrativo-Financeiro, Suprimentos e Logística;14-GRE-NUAFS;Mamanguape
Núcleo Administrativo-Financeiro, Suprimentos e Logística;6-GRE-NUAFS;Patos
Núcleo Administrativo-Financeiro, Suprimentos e Logística;3-GRE-NUAFS;Campina Grande
Núcleo Administrativo-Financeiro, Suprimentos e Logística;1-GRE-NUAFS;João Pessoa
Núcleo Administrativo-Financeiro, Suprimentos e Logística;12-GRE-NUAFS;Itabaiana
NUCLEO ADMINISTRATIVO-FINANCEIRO, SUPRIMENTOS E LOGISTICA;8-GRE-NUAFS;Catolé do Rocha
Núcleo da Prestação de Contas da Alimentação Escolar;NPCAE;João Pessoa
Núcleo de Acompanhamento, Controle e Execução Financeira de Programas Educacionais;NUAPC;João Pessoa
Núcleo de Acumulação de Cargos;NUACC;João Pessoa
Núcleo de Aquisição de Alimentação Escolar;NUAAE;João Pessoa
